method,display_name,images,background,mse_mean,mse_std,psnr_db_mean,psnr_db_std,ssim_mean,ssim_std,lpips_mean,lpips_std,inference_seconds_mean,inference_seconds_std,path_count_mean,path_count_std,cubic_segment_count_mean,cubic_segment_count_std,svg_bytes_mean,svg_bytes_std
ours,Notre methode,4,black,0.007602449960376753,0.007794547962767321,23.306508822554886,5.27851634297739,0.647892065346241,0.1904240949351319,0.31131744384765625,0.11340961167428389,0.6841192250140011,0.1188223021277071,1472.0,221.70250336881628,5888.0,886.8100134752651,677989.0,104760.14484844256
supersvg,SuperSVG,4,black,0.0015097297813983432,0.001438959045485113,29.85576311890197,4.441021129119567,0.8312088549137115,0.09581395447828685,0.15159073658287525,0.06554783629190251,2.548235999995086,0.05900133274220436,1000.0,0.0,4000.0,0.0,557098.25,1533.9824803432405
live,LIVE,4,white,0.006578611301390483,0.0059739423703644495,23.913294010302977,5.331413053214822,0.6317076236009598,0.22338727546475431,0.36464962735772133,0.152743623995396,243.80423525,10.256458317443377,32.0,0.0,128.0,0.0,21514.75,22.998188334446404
im2vec,Im2Vec,4,white,0.32384445279023594,0.13519202209307318,5.213258659284551,1.9785456221687177,0.2533842455595732,0.18931998723985718,0.8513212352991104,0.05332924892946809,0.012246025005879346,0.002325296614574332,4.0,0.0,80.0,0.0,9797.0,28.867513459481287
