model,image,source_index,width,height,region_count,paths_per_region,path_count,mse,psnr_db,ssim,lpips,preprocess_seconds,network_seconds,render_seconds,svg_export_seconds,inference_seconds,metric_seconds,peak_extra_gpu_mb,svg_bytes,input_png_bytes,svg_xml_valid,svg_diffvg_reload_valid,svg_path_count
ours_final,0078807977709.jpg,1,256,256,10,128,1280,0.007900509345327846,21.023449088697422,0.5753505229949951,0.3165650963783264,0.044420800026273355,0.021743499994045123,0.4622349000128452,0.09163310000440106,0.6200323000375647,0.024143199989339337,78.8623046875,602891,106914,True,True,1280
ours_final,0078936124638016.jpg,2,256,256,11,128,1408,0.0029075393654673693,25.364743966031178,0.8376315236091614,0.24696001410484314,0.046594100014772266,0.01833190000616014,0.4170639999792911,0.18181380000896752,0.663803800009191,0.017739800008712336,79.64208984375,652576,64974,True,True,1408
ours_final,007905920170535.jpg,3,256,256,11,128,1408,0.01845485768804798,17.33889299454169,0.4120476245880127,0.4698234796524048,0.0430183999997098,0.018421500019030645,0.4419276999833528,0.09204349998617545,0.5954110999882687,0.02085810000426136,79.64208984375,624352,124568,True,True,1408
ours_final,0079155434536247.jpg,4,256,256,14,128,1792,0.0011233023993707527,29.495033134633672,0.7589535713195801,0.21497951447963715,0.0378148999880068,0.019652500021038577,0.679615000000922,0.1201473000110127,0.8572297000209801,0.02268510000430979,88.5234375,832137,78140,True,True,1792
