model,image,source_index,width,height,region_count,paths_per_region,path_count,mse,psnr_db,ssim,lpips,preprocess_seconds,network_seconds,render_seconds,svg_export_seconds,inference_seconds,metric_seconds,peak_extra_gpu_mb,svg_bytes,input_png_bytes,svg_xml_valid,svg_diffvg_reload_valid,svg_path_count
paths32_e09,0078807977709.jpg,1,256,192,5,32,160,0.031470987659702555,15.02089627330565,0.31729528307914734,0.47338882088661194,0.03174409999337513,0.01730659999884665,0.07137140000122599,0.0160390999953961,0.13646119998884387,0.018913400010205805,59.93212890625,73088,82725,True,True,160
paths32_e09,007883581521552.jpg,2,192,256,12,32,384,0.010593204059808917,19.749726617023807,0.463489294052124,0.45282942056655884,0.030966499994974583,0.019136200004140846,0.13680790000944398,0.034897699995781295,0.2218083000043407,0.017964900005608797,81.404296875,173497,75482,True,True,384
paths32_e09,007885703398766.jpg,3,256,155,13,32,416,0.005410863146112197,22.66733450292131,0.38944026827812195,0.42739731073379517,0.03035279999312479,0.019850299999234267,0.18424489999597427,0.028821500003687106,0.26326949999202043,0.015544599998975173,85.76220703125,191501,74700,True,True,416
paths32_e09,0078883873062625.jpg,4,226,256,9,32,288,0.03458511459213451,14.611107810190074,0.29553771018981934,0.548168957233429,0.04444579999835696,0.020024999990710057,0.13988390000304207,0.03483150000101887,0.23918619999312796,0.01947699999436736,73.52880859375,135583,99265,True,True,288
paths32_e09,007890039314897.jpg,5,256,192,13,32,416,0.006048790649680783,22.183314462848102,0.4167037308216095,0.560305118560791,0.038027700007660314,0.021216900000581518,0.17956049999338575,0.02785940001194831,0.2666645000135759,0.0152760000055423,85.76220703125,194290,92663,True,True,416
paths32_e09,0078936124638016.jpg,6,256,192,10,32,320,0.013643531834646987,18.650731914280666,0.6694081425666809,0.4971849322319031,0.04174559999955818,0.025892899997415952,0.1720357000012882,0.042854900006204844,0.2825291000044672,0.044848200006526895,78.8623046875,151719,50125,True,True,320
paths32_e09,007898638891341.jpg,7,256,192,13,32,416,0.005751725432499239,22.402018538485002,0.6322076916694641,0.41192781925201416,0.04157719999784604,0.021586699993349612,0.17507660000410397,0.03924879999249242,0.27748929998779204,0.01760869999998249,85.76220703125,191879,60633,True,True,416
paths32_e09,0079009956418858.jpg,8,256,170,10,32,320,0.02542272824634658,15.947778448616951,0.2874448299407959,0.5420361757278442,0.03424039999663364,0.02177940000547096,0.15546490000269841,0.026167599993641488,0.2376522999984445,0.01743349999014754,78.8623046875,146018,84616,True,True,320
paths32_e09,0079032705365287.jpg,9,170,256,13,32,416,0.01097647804926878,19.595369867650184,0.5652670860290527,0.5166871547698975,0.035925000003771856,0.02172710000013467,0.18153479999455158,0.03026900000986643,0.26945590000832453,0.016998100007185712,85.76220703125,191681,48497,True,True,416
paths32_e09,007905920170535.jpg,10,256,174,11,32,352,0.03354729321658671,14.743425153913659,0.21988661587238312,0.573836088180542,0.03739050000149291,0.021141500008525327,0.15154409999377094,0.13368130000890233,0.3437574000126915,0.019306999995023943,79.64208984375,156558,85383,True,True,352
paths32_e09,007913903430462.jpg,11,256,171,11,32,352,0.013392488481992851,18.731387184633427,0.3735705614089966,0.48569968342781067,0.035879300005035475,0.020162799992249347,0.14333809999516234,0.03307439999480266,0.23245459998724982,0.015103099998668768,79.64208984375,159148,71581,True,True,352
paths32_e09,0079155434536247.jpg,12,192,256,13,32,416,0.0029589461962445615,25.28862931725658,0.6219374537467957,0.40995505452156067,0.03635160000703763,0.02019809999910649,0.16603990001021884,0.030293599993456155,0.2528832000098191,0.01665340000181459,85.76220703125,187983,60171,True,True,416
paths128_e19,0078807977709.jpg,1,256,192,5,128,640,0.009498751050333577,20.223334944591986,0.5238006711006165,0.31801655888557434,0.03270539999357425,0.01816540000436362,0.2266527000028873,0.04304589999082964,0.3205693999916548,0.015889099988271482,65.259765625,289607,82725,True,True,640
paths128_e19,007883581521552.jpg,2,192,256,12,128,1536,0.0034047657325552154,24.679127646788505,0.6844275593757629,0.25537267327308655,0.036462799995206296,0.01979790000768844,0.47998659999575466,0.19620759999088477,0.7324548999895342,0.015433599997777492,81.091796875,691180,75482,True,True,1536
paths128_e19,007885703398766.jpg,3,256,155,13,128,1664,0.002477044782328401,26.06066141762042,0.5529018044471741,0.3166513442993164,0.03083150000020396,0.021580000000540167,0.5119429000042146,0.11378270000568591,0.6781371000106446,0.014542899996740744,86.3115234375,762808,74700,True,True,1664
paths128_e19,0078883873062625.jpg,4,226,256,9,128,1152,0.012773393282556009,18.93693716038977,0.5537875294685364,0.30622291564941406,0.041117700005997904,0.01940140000078827,0.41253629999118857,0.19102559999737423,0.664080999995349,0.01768419999280013,75.23779296875,540543,99265,True,True,1152
paths128_e19,007890039314897.jpg,5,256,192,13,128,1664,0.0024679027012838466,26.076719666519654,0.5535469651222229,0.37957119941711426,0.03877159999683499,0.02062080000177957,0.5474527000042144,0.11169710000103805,0.718542200003867,0.016785999992862344,86.3115234375,774556,92663,True,True,1664
paths128_e19,0078936124638016.jpg,6,256,192,10,128,1280,0.003255456065124688,24.873881614145084,0.848304033279419,0.21744698286056519,0.03808329999446869,0.019271900004241616,0.4368642000044929,0.1784709999919869,0.6726903999951901,0.01627100000041537,78.5498046875,604779,50125,True,True,1280
paths128_e19,007898638891341.jpg,7,256,192,13,128,1664,0.001284846976377975,28.91148593166912,0.7994339466094971,0.1786423921585083,0.03807559999404475,0.022616000002017245,0.5346215000026859,0.10864639999635983,0.7039594999951078,0.016573800006881356,86.3115234375,765623,60633,True,True,1664
paths128_e19,0079009956418858.jpg,8,256,170,10,128,1280,0.009542307543045912,20.203465904918886,0.5139636397361755,0.33428940176963806,0.03303289999894332,0.019027199989068322,0.4336892999999691,0.08439949998864904,0.5701488999766298,0.016636800006381236,78.5498046875,581642,84616,True,True,1280
